"","Observed","Shannon","Simpson"
"L1S105",56,4.02535169073515,0.982142857142857
"L1S140",61,4.11087386417331,0.983606557377049
"L1S208",74,4.30406509320417,0.986486486486487
"L1S257",73,4.29045944114839,0.986301369863014
"L1S281",71,4.26267987704132,0.985915492957746
"L1S57",62,4.12713438504509,0.983870967741935
"L1S76",54,3.98898404656428,0.981481481481482
"L1S8",35,3.55534806148941,0.971428571428571
"L2S155",93,4.53259949315326,0.989247311827957
"L2S175",105,4.65396035015753,0.99047619047619
"L2S204",85,4.44265125649032,0.988235294117647
"L2S222",118,4.77068462446567,0.991525423728814
"L2S240",48,3.8712010109079,0.979166666666667
"L2S309",57,4.04305126783455,0.982456140350877
"L2S357",58,4.06044301054642,0.982758620689655
"L2S382",108,4.68213122712422,0.990740740740741
"L3S242",21,3.04452243772342,0.952380952380952
"L3S294",38,3.63758615972639,0.973684210526316
"L3S313",48,3.8712010109079,0.979166666666667
"L3S341",44,3.78418963391827,0.977272727272727
"L3S360",46,3.82864139648909,0.978260869565217
"L3S378",33,3.49650756146648,0.96969696969697
"L4S112",130,4.86753445045557,0.992307692307692
"L4S137",133,4.89034912822176,0.992481203007519
"L4S63",143,4.96284463025991,0.993006993006993
"L5S104",26,3.25809653802148,0.961538461538462
"L5S155",21,3.04452243772342,0.952380952380952
"L5S174",29,3.36729582998647,0.96551724137931
"L5S203",33,3.49650756146648,0.96969696969697
"L5S222",31,3.43398720448515,0.967741935483871
"L5S240",24,3.17805383034795,0.958333333333333
"L6S20",44,3.78418963391827,0.977272727272727
"L6S68",45,3.80666248977032,0.977777777777778
"L6S93",48,3.8712010109079,0.979166666666667
